Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://www.co-ode.org/ontologies/ont.owl#affect_of,http://www.co-ode.org/ontologies/ont.owl#geneticInfluenceFactor,http://www.co-ode.org/ontologies/ont.owl#hasage,http://www.co-ode.org/ontologies/ont.owl#hasBMI,http://www.co-ode.org/ontologies/ont.owl#hasex,http://www.co-ode.org/ontologies/ont.owl#hasgeneticriskfactor,http://www.co-ode.org/ontologies/ont.owl#hasrace,max_intra_ontology_similarity,avg_intra_ontology_similarity,most_similar_concept
http://www.co-ode.org/ontologies/ont.owl#housing_quality,housing_quality,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Built_in_environment,,,,,,,,0.49979937076568604,0.21463020145893097,Thermal_comfort_in_home
http://www.co-ode.org/ontologies/ont.owl#Chronic_Disease,Chronic_Disease,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Health_outcomes,,,,,,,,0.5628466606140137,0.17609700560569763,Respiratory_disease
http://www.co-ode.org/ontologies/ont.owl#acid_rain,acid_rain,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Trans_boundary_pollution,,,,,,,,0.6096484661102295,0.21634697914123535,Ocean_acidification
http://www.co-ode.org/ontologies/ont.owl#Radon_Exposure_through_soil,Radon_Exposure_through_soil,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,,0.5639452338218689,0.2095506489276886,High_level_radon_home
http://www.co-ode.org/ontologies/ont.owl#Cleaning_chemical_risk,Cleaning_chemical_risk,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,,0.510217547416687,0.2499788999557495,Paint_chemical_inhalation
http://www.co-ode.org/ontologies/ont.owl#Erosion_in_irrigation_channels,Erosion_in_irrigation_channels,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Local_community_infrastructre,,,,,,,,0.4268665313720703,0.1753212958574295,Soil_pollution
http://www.co-ode.org/ontologies/ont.owl#Infectious_disease,Infectious_disease,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Health_outcomes,,,,,,,,0.5908561944961548,0.19250617921352386,Respiratory_disease
http://www.co-ode.org/ontologies/ont.owl#Environmental_triggers_Asthma,Environmental_triggers_Asthma,,,False,,,http://www.co-ode.org/ontologies/ont.owl#genetic_predisposition_disease,,,,,,,,0.6530873775482178,0.25406211614608765,Asthma
http://www.co-ode.org/ontologies/ont.owl#Tobacco_smoking_impact,Tobacco_smoking_impact,,,False,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,,0.45114749670028687,0.18439969420433044,Lung_cancer
http://www.co-ode.org/ontologies/ont.owl#regulations_on_air_Quality,regulations_on_air_Quality,,,False,,,http://www.co-ode.org/ontologies/ont.owl#policy_governance_effect,,,,,,,,0.7296751141548157,0.28129348158836365,regulations_on_water_quality
http://www.co-ode.org/ontologies/ont.owl#Thermal_comfort_in_home,Thermal_comfort_in_home,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,,0.5914655327796936,0.21122489869594574,Indoor_heat_stress_in_workplace
http://www.co-ode.org/ontologies/ont.owl#Indoor_mold_growth,Indoor_mold_growth,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,,0.5140690207481384,0.20960377156734467,Indoor_air_purification
http://www.co-ode.org/ontologies/ont.owl#High_fat_diet_Risk,High_fat_diet_Risk,,,False,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,,0.49939846992492676,0.15287041664123535,Exposure_to_hazards_lifestyle_factors
http://www.co-ode.org/ontologies/ont.owl#Lead_pipes_at_home,Lead_pipes_at_home,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,,0.8269965648651123,0.19363315403461456,Lead_pipes_workplace
http://www.co-ode.org/ontologies/ont.owl#Microplastic_drinking_Water,Microplastic_drinking_Water,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_toxins_home,,,,,,,,0.5756505727767944,0.20379844307899475,Arsenic_drinking_Water
http://www.co-ode.org/ontologies/ont.owl#Exposure_to_hazards_lifestyle_factors,Exposure_to_hazards_lifestyle_factors,,,False,,,http://www.co-ode.org/ontologies/ont.owl#At_the_Individual_level,,,,,,,,0.6844803094863892,0.2679661810398102,Environmental_Determinants_of_Health
http://www.co-ode.org/ontologies/ont.owl#Poor_ventilation_effects,Poor_ventilation_effects,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_home,,,,,,,,0.4846366345882416,0.19954873621463776,air_quality
http://www.co-ode.org/ontologies/ont.owl#Poor_indoor_light_quality,Poor_indoor_light_quality,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Home_as_microenvironment,,,,,,,,0.7300910949707031,0.17961333692073822,Street_lighting_quality
http://www.co-ode.org/ontologies/ont.owl#Asthma,Asthma,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Respiratory_disease,,,,,,,,0.6530873775482178,0.15571027994155884,Environmental_triggers_Asthma
http://www.co-ode.org/ontologies/ont.owl#Agriculture_pesticide_Exposure,Agriculture_pesticide_Exposure,,,False,,,http://www.co-ode.org/ontologies/ont.owl#Exposure_to_pollutants_workplace,,,,,,,,0.6636930704116821,0.27345192432403564,Exposure_to_pollutants_home
http://www.co-ode.org/ontologies/ont.owl#Ocean_acidification,Ocean_acidification,,,False,,,http://www.co-ode.org/ontologies/ont.owl#At_the_global_level,,,,,,,,0.6096484661102295,0.20856258273124695,acid_rain
http://www.co-ode.org/ontologies/ont.owl#regulations_on_water_quality,regulations_on_water_quality,,,False,,,http://www.co-ode.org/ontologies/ont.owl#policy_governance_effect,,,,,,,,0.7770249843597412,0.23800519108772278,water_quality
